iter	Passed	Remaining
0	128	128351
1	130	64916
2	131	43739
3	133	33119
4	134	26731
5	135	22461
6	136	19406
7	137	17107
8	139	15345
9	141	14001
10	142	12840
11	144	11867
12	145	11037
13	146	10333
14	147	9713
15	149	9171
16	150	8698
17	151	8273
18	152	7890
19	155	7615
20	157	7326
21	158	7065
22	160	6826
23	162	6614
24	163	6387
25	165	6181
26	166	5992
27	167	5813
28	168	5655
29	171	5544
30	173	5415
31	175	5306
32	176	5180
33	177	5055
34	179	4938
35	180	4828
36	181	4722
37	184	4678
38	186	4589
39	187	4509
40	189	4441
41	191	4369
42	193	4296
43	194	4223
44	195	4153
45	197	4092
46	199	4041
47	200	3979
48	201	3918
49	202	3856
50	204	3796
51	205	3742
52	206	3689
53	207	3638
54	208	3589
55	210	3540
56	211	3493
57	213	3475
58	215	3431
59	216	3391
60	217	3350
61	218	3311
62	219	3271
63	221	3233
64	222	3198
65	223	3163
66	224	3131
67	226	3100
68	229	3091
69	230	3064
70	232	3035
71	233	3005
72	234	2977
73	235	2950
74	237	2923
75	238	2896
76	239	2871
77	240	2846
78	242	2831
79	244	2812
80	246	2791
81	247	2770
82	248	2742
83	250	2729
84	251	2710
85	253	2689
86	254	2671
87	255	2652
88	257	2638
89	259	2620
90	260	2601
91	261	2582
92	262	2563
93	264	2547
94	265	2528
95	266	2510
96	267	2492
97	268	2474
98	270	2457
99	273	2457
100	274	2442
101	275	2427
102	276	2411
103	278	2395
104	279	2380
105	280	2365
106	281	2351
107	283	2337
108	284	2322
109	285	2309
110	288	2309
111	289	2296
112	290	2282
113	292	2270
114	293	2258
115	294	2245
116	295	2230
117	296	2217
118	297	2205
119	299	2193
120	300	2181
121	304	2191
122	305	2179
123	306	2167
124	307	2155
125	309	2144
126	310	2132
127	311	2121
128	312	2111
129	313	2100
130	314	2089
131	317	2087
132	319	2080
133	320	2074
134	322	2066
135	323	2057
136	328	2066
137	329	2058
138	331	2050
139	333	2048
140	335	2045
141	336	2034
142	338	2027
143	339	2020
144	341	2014
145	345	2018
146	355	2065
147	357	2057
148	358	2049
149	360	2045
150	362	2037
151	366	2043
152	369	2044
153	370	2037
154	372	2030
155	373	2023
156	375	2015
157	376	2008
158	378	2003
159	380	1998
160	381	1990
161	383	1983
162	384	1976
163	389	1987
164	392	1985
165	396	1991
166	397	1985
167	399	1978
168	400	1971
169	402	1967
170	404	1960
171	405	1952
172	407	1945
173	408	1938
174	410	1933
175	411	1926
176	413	1920
177	414	1914
178	415	1907
179	417	1900
180	418	1892
181	419	1885
182	420	1878
183	421	1871
184	424	1870
185	425	1863
186	427	1856
187	428	1849
188	429	1842
189	430	1835
190	431	1828
191	432	1821
192	434	1814
193	435	1808
194	436	1802
195	438	1796
196	439	1793
197	441	1788
198	443	1783
199	444	1777
200	446	1776
201	448	1772
202	450	1769
203	452	1765
204	455	1764
205	456	1759
206	457	1753
207	458	1747
208	460	1740
209	461	1734
210	462	1729
211	463	1723
212	464	1717
213	466	1711
214	467	1705
215	470	1707
216	471	1701
217	472	1696
218	473	1690
219	475	1684
220	476	1679
221	477	1673
222	478	1668
223	479	1662
224	481	1656
225	482	1651
226	485	1652
227	486	1647
228	487	1642
229	488	1636
230	489	1631
231	491	1625
232	492	1620
233	493	1615
234	494	1610
235	495	1605
236	497	1600
237	500	1602
238	501	1597
239	503	1592
240	504	1587
241	505	1582
242	506	1577
243	507	1572
244	508	1568
245	510	1563
246	511	1558
247	512	1553
248	513	1549
249	515	1547
250	517	1542
251	518	1537
252	519	1533
253	520	1528
254	521	1523
255	522	1519
256	523	1514
257	525	1510
258	526	1505
259	527	1501
260	530	1502
261	531	1497
262	532	1492
263	533	1488
264	534	1483
265	535	1478
266	537	1474
267	538	1469
268	539	1465
269	540	1461
270	541	1457
271	542	1453
272	546	1454
273	547	1451
274	549	1448
275	551	1447
276	552	1443
277	554	1439
278	555	1434
279	556	1430
280	557	1426
281	559	1423
282	560	1420
283	561	1416
284	562	1412
285	564	1408
286	565	1404
287	566	1400
288	567	1396
289	568	1392
290	569	1388
291	570	1384
292	572	1380
293	576	1383
294	577	1380
295	579	1378
296	580	1374
297	581	1370
298	582	1366
